,Lat,Lng,Price,Tempature (F),ZipCode
0,41.94,-87.65,567300.0,-0.89,60657
1,33.91,-118.35,588700.0,21.89,90250
2,35.29,-80.82,173400.0,0.8,28269
3,38.0,-121.92,386000.0,13.5,94565
4,32.66,-97.03,183400.0,5.6,75052
5,38.9,-76.99,665600.0,3.38,20002
6,33.94,-84.07,165200.0,2.78,30044
7,30.51,-97.82,238400.0,6.34,78613
8,36.8,-76.18,231400.0,1.0,23464
9,41.48,-81.8,157000.0,-2.9,44107
10,33.86,-118.18,448300.0,22.11,90805
11,42.23,-83.63,188500.0,-3.32,48197
12,33.75,-117.99,607200.0,22.25,92683
13,38.67,-121.15,468100.0,13.38,95630
14,32.64,-117.07,479200.0,19.26,91910
15,34.08,-118.26,988200.0,22.41,90026
16,40.6,-74.15,523400.0,-2.14,10314
17,25.99,-80.27,267200.0,14.29,33025
18,33.56,-84.22,134600.0,3.4,30281
19,25.98,-80.14,360700.0,14.29,33009
20,40.07,-82.4,118800.0,-3.55,43055
21,35.19,-106.67,191600.0,11.75,87114
22,36.31,-86.61,255500.0,-0.6,37075
23,41.69,-81.34,154200.0,-2.35,44060
24,33.82,-117.97,555600.0,22.25,92804
25,39.88,-83.08,163000.0,-3.55,43123
26,32.8,-117.24,951700.0,18.08,92109
27,41.14,-81.86,185500.0,-3.33,44256
28,34.42,-117.3,233400.0,23.5,92345
29,37.56,-122.0,943000.0,14.5,94536
30,33.92,-117.46,345000.0,23.32,92503
31,34.97,-81.05,171900.0,1.12,29732
32,35.77,-78.6,158100.0,-2.5,27610
33,42.01,-87.67,247300.0,-0.9,60626
34,25.87,-80.31,296100.0,14.28,33012
35,36.04,-95.81,145500.0,6.81,74012
36,39.43,-76.78,232300.0,3.08,21117
37,46.25,-119.1,200400.0,6.7,99301
38,34.08,-117.46,324400.0,23.14,92335
39,38.89,-76.94,321500.0,3.33,20019
40,42.34,-83.38,148600.0,-3.0,48185
41,32.72,-117.16,805300.0,18.86,92101
